Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12834123218,405148313,7/21/2021 6:06,7/21/2021 6:11,,,,,,Not at all,At least once a day,Not at all,About once a month,About once a month,At least once a day,Not at all,At least once a day,At least once a day,Basic stuff,Expert,Not at all,Advanced,Basic stuff,Intermediate,Basic stuff,Intermediate,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,None,,Excel,,,Python,,,,SQL,,,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,,,none,FCAS,31-40 years old,Asia,,Broker or (re)insurance intermediary,,5-Jan,Between 5 and 10
12831938215,405148313,7/15/2021 12:45,7/20/2021 10:56,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,About once a week,About once a week,Basic stuff,Expert,Basic stuff,Intermediate,Not at all,Intermediate,Not at all,Intermediate,Advanced,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,"reserving software packages; not because we use one I like, but because they seem useful if done right and it'd be good to get survey results from many actuaries",,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 10 and 15
12830465648,405148313,7/19/2021 19:43,7/19/2021 19:47,,,,,,Less than once a month,At least once a day,About once a month,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,About once a week,Not at all,Expert,Intermediate,Not at all,Basic stuff,Intermediate,Not at all,Intermediate,Intermediate,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,,,,,,,,,,,,,,,Financial cost,Not enough time,,,,,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Consulting Firm,,5-Jan,More than 20
12829067591,405148313,7/19/2021 9:36,7/19/2021 9:40,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Intermediate,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Very much so,Somewhat,Somewhat,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,"third party solutions - Prophet, ResQ, Arius, etc.",,Excel,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Other (please specify),Fintech,5-Jan,Between 5 and 10
12828965897,405148313,7/19/2021 8:52,7/19/2021 9:00,,,,,,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Expert,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Not at all,Not at all,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,,,,Python,,,,,,,,Lack of IT support,Financial cost,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,,"Bayesian analysis, and/or MCMC",,,,Chain-ladder,Tree-based methods like random forests,,,,ACAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12827936419,405148313,7/18/2021 19:53,7/18/2021 19:59,,,,,,At least once a day,At least once a day,Not at all,Not at all,About once a week,Less than once a month,Not at all,Not at all,Less than once a month,Expert,Advanced,Not at all,Not at all,Expert,Basic stuff,Basic stuff,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,"There could be political considerations, I'd be curious about usage of various proprietary systems like Emblem, Remetrica, Insureware, Alteryx, etc.  Also PowerBI and Tableau are arguably in the same category.",R,,,,,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Broker or (re)insurance intermediary,,51-200,Between 15 and 20
12826142105,405148313,7/17/2021 8:11,7/17/2021 8:17,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,None,R,Excel,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20
12826009705,405148313,7/17/2021 5:35,7/17/2021 5:39,,,,,,Less than once a month,At least once a day,Less than once a month,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Not at all,Basic stuff,Expert,Advanced,Advanced,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,Excel,,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Other (please specify),New Zealand,Consulting Firm,,5-Jan,Between 10 and 15
12825987910,405148313,7/17/2021 5:07,7/17/2021 5:12,,,,,,Less than once a month,At least once a day,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Less than once a month,Intermediate,Intermediate,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,,,,,,,,,,,Lack of management support,,Financial cost,Not enough time,,,,Lack of management support,,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,,Tree-based methods like random forests,,,,None yet,Prefer not to say,Australia,,Insurance company,,5-Jan,Between 5 and 10
12825580812,405148313,7/16/2021 21:03,7/16/2021 21:05,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,Excel,,,,,,,SQL,,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Between 5 and 10
